assessment_detail_id,assessment_id,cso_id,cso_code,cso_name,assessment_round,assessment_date,cohort_id,region,sector_primary,core_capacity_area_id,core_capacity_area_name,capacity_practice_area_id,capacity_practice_area_name,capacity_practice_area_definition,indicator_standard_id,indicator_standard_reference,global_standard_commitment,current_practice_score_1_to_5,score_label_auto,score_interpretation_auto,gap_severity_auto,current_practice_summary,strengths_summary,areas_for_growth,capacity_gap,desired_practice,primary_evidence_source,secondary_evidence_sources,evidence_summary,evidence_confidence,target_learner_group_id,target_learner_group_name,ksme_diagnosis,separable_knowledge_or_skill_component,non_course_barrier_summary,course_fit_decision,recommended_intervention_route,safeguarding_data_sensitivity,no_harm_note,safe_for_dashboard,safe_summary_for_dashboard,evaluation_anchor,monitoring_signal,possible_practical_proof,verified_achievement_example,priority_flag,priority_rank,recommended_capacity_action,recommended_course_or_support_title,remarks,data_quality_check
AD_CSO_001_CPA_GOV_001,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_001,Board roles and responsibilities,3,Developing,Moderate,Board members understand general oversight responsibilities but role boundaries with management are not consistently applied.,Board representatives are engaged and willing to strengthen governance practice.,Role clarity needs to be documented and used during meetings.,Board and management roles are not consistently distinguished in routine decisions.,"Board members can classify oversight, management, and joint responsibilities using a simple role matrix.",Board discussion notes and governance document review,Medium,TLG_BOARD,Knowledge,Not required,Course-addressable,Short governance course plus board orientation exercise,Low,Use fictional board examples and avoid internal disputes.,TRUE,Board role clarity is a moderate improvement area.,Baseline board role clarity score; follow-up after governance learning module.,Improved score; completed role matrix; reviewer-accepted practical proof.,Completed board-management role matrix,Yes,2,Provide practical training on board roles and board-management boundaries.,Board Roles and Governance Accountability for Local CSOs,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_GOV_002,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_002,Management-board relationship,3,Developing,Moderate,"Management and board communicate regularly, but escalation rules are not clearly documented.",There is a functioning relationship between senior staff and board representatives.,Decision escalation needs clearer guidance and consistent use.,Staff are not always sure which issues require board decision or management action.,"Staff and board can identify when an issue is board-level, management-level, or joint.",Governance workshop discussion,Medium,TLG_EXEC_LEADER,Skill,Not required,Course-addressable,Scenario-based governance practice plus decision-escalation checklist,Low,Use neutral fictional examples.,TRUE,Board-management decision boundaries need standardization.,Baseline score for decision-escalation clarity.,Completed escalation checklist; follow-up governance review.,Decision-escalation checklist,Yes,2,Introduce a decision-escalation tool and short practical exercise.,Clarifying Board and Management Responsibilities,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_GOV_003,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_003,Decision documentation,2,Weak,High,Important governance and project decisions are often recorded informally or embedded in long meeting notes.,Staff recognize the value of keeping decision records.,"Decisions need clear owner, timeline, and follow-up fields.",Meeting decisions are not consistently documented in a retrievable format.,Board and management can prepare concise decision records with action owners.,Meeting note sample review,High,TLG_BOARD,Skill,Not required,Course-addressable,Practical template-based course,Low,Redact real meeting minutes before any proof submission.,TRUE,Decision documentation is a high-priority governance gap.,Baseline decision-record quality; follow-up after template use.,Improved meeting action tracker; verified governance proof.,Redacted decision log or sample meeting decision record,Yes,1,Train board secretary and program leads on decision-record templates.,Governance Decision Documentation in Practice,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_GOV_004,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_004,Conflict of interest,2,Weak,High,"Conflict of interest is recognized as important, but there is no routine declaration or meeting-record practice.",Board members are open to adopting a simple declaration format.,Practical documentation and meeting handling procedures are needed.,Conflict-of-interest situations may not be consistently declared or documented.,Board members can identify and document conflict-of-interest situations safely.,Board interview and policy review,Medium,TLG_BOARD,Skill,Not required,Course-addressable,Short scenario-based course plus declaration template,Low,Use fictional conflict examples; do not expose real board member interests.,TRUE,Conflict-of-interest documentation is a high-priority governance gap.,Baseline conflict-of-interest practice score.,Completed declaration template; reviewer-accepted proof.,Completed conflict-of-interest declaration sample,Yes,1,Provide practical conflict-of-interest documentation training.,Managing Conflict of Interest in CSO Governance,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_GOV_005,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_01_GOV,Internal Governance and Leadership,CPA_GOV_005,Leadership accountability,3,Developing,Moderate,Leadership accountability is valued but not translated into routine reflection or follow-up practices.,Senior staff show commitment to community-facing accountability.,Leadership accountability practices need regular review and documentation.,Accountability expectations are not consistently converted into leadership follow-up actions.,"Leaders can use a simple checklist to review mission, stakeholder, and follow-up accountability.",Leadership reflection workshop,Medium,TLG_EXEC_LEADER,Knowledge,Not required,Course-addressable,Short leadership accountability course plus checklist exercise,Low,Keep internal leadership reflections confidential.,TRUE,Leadership accountability is developing but needs routine tools.,Baseline leadership accountability score.,Checklist use; action note; follow-up reflection.,Leadership accountability self-check,Yes,2,Introduce leadership accountability checklist and routine review.,Responsible Leadership for Local CSOs,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_ACC_004,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_02_ACC,Transparency and Accountability,CPA_ACC_004,Community feedback,2,Weak,High,Community feedback is collected through meetings and informal channels but is not consistently categorized or analyzed.,Staff have direct community access and willingness to listen.,"Feedback classification, response tracking, and learning use need strengthening.",Feedback is collected but not reliably transformed into decisions or responses.,Staff can categorize feedback and identify appropriate response or escalation pathways.,Community feedback notes and staff validation workshop,High,TLG_MEAL_OFFICER,Skill,Not required,Course-addressable,Scenario-based accountability course plus feedback log template,Moderate,Use anonymized feedback summaries only; never upload raw complaints with personal details.,TRUE,Feedback categorization is a high-priority accountability gap.,Baseline feedback categorization score.,Completed feedback log; closure tracker; learner feedback.,Redacted feedback categorization log,Yes,1,Train MEAL and field staff on feedback classification and closure tracking.,Categorizing and Using Community Feedback,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_ACC_005,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_02_ACC,Transparency and Accountability,CPA_ACC_005,Complaints handling,2,Weak,High,"Staff do not consistently distinguish routine feedback, complaints, and sensitive safeguarding-related concerns.",The organization already receives community input and has openness to formalizing response.,Safe classification and escalation guidance are needed.,Complaint types are not consistently classified or escalated through safe pathways.,"Staff can distinguish ordinary feedback, complaints, and sensitive concerns using approved scenarios.",Accountability process review,Medium,TLG_SAFEGUARDING,Skill,Yes,Partly course-addressable,Safeguarding-informed course plus specialist protocol review,High,"Do not upload real complaint, safeguarding, child protection, or GBV case files.",FALSE,Complaint handling requires safe internal strengthening; only aggregate summaries should appear on dashboards.,Baseline complaint classification score.,Scenario completion; safe escalation checklist; specialist review.,Complaint classification scenario worksheet,Yes,1,Provide safe complaint classification training and route protocol gaps to safeguarding support.,Safe Complaint Classification for CSO Staff,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_ACC_008,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_02_ACC,Transparency and Accountability,CPA_ACC_008,Feedback response,2,Weak,High,Feedback is received but follow-up and closure status are not consistently documented.,Field staff understand community concerns and can identify common feedback themes.,"Response ownership, timeline, and closure tracking need improvement.",Feedback loops remain incomplete because responses are not systematically tracked.,"Staff can record feedback status, response action, owner, and closure decision.",Feedback tracker review and validation discussion,High,TLG_MEAL_OFFICER,Skill,Not required,Course-addressable,Practical course plus feedback closure tracker,Moderate,"Use anonymized entries; remove names, phone numbers, and sensitive details.",TRUE,Feedback closure is a high-priority accountability gap.,Baseline feedback response score.,Closure tracker use; dashboard summary; feedback response rate.,Feedback closure tracker sample,Yes,1,Introduce a feedback closure tracker and routine review practice.,Closing the Feedback Loop in CSO Projects,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_MEAL_002,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_002,Output vs outcome evidence,2,Weak,High,"Reports mostly describe activities and participation, with limited explanation of outcome evidence or change.",Staff collect activity information and community feedback.,Outcome evidence statements and interpretation of change need practical support.,Staff cannot consistently distinguish activity completion from evidence of meaningful change.,Staff can write concise outcome evidence statements using safe monitoring examples.,Project report review and MEAL discussion,High,TLG_MEAL_OFFICER,Skill,Not required,Course-addressable,Practical MEAL course plus evidence statement worksheet,Low,Use simulated or anonymized data; do not upload beneficiary records.,TRUE,Outcome evidence writing is a high-priority MEAL gap.,Baseline outcome evidence score.,Improved report section; evidence statement; final test results.,Outcome evidence statement sample,Yes,1,Train MEAL and program staff on outcome evidence statements.,From Outputs to Outcome Evidence,Synthetic validated baseline record.,Complete
AD_CSO_001_CPA_MEAL_006,ASM_CSO_001_BASE,CSO_001,CSO-001,Addis Community Accountability Initiative,Baseline,2026-03-04,COH_BASE_2026,Addis Ababa,Governance,CCA_07_MEAL,"Monitoring, Evaluation, Accountability, and Learning",CPA_MEAL_006,Feedback use,2,Weak,High,Feedback themes are not consistently reviewed in management or project adaptation discussions.,Feedback exists and staff can describe recurring concerns.,Feedback analysis and decision-use routines need strengthening.,Feedback data are not reliably converted into program response actions.,Staff can summarize feedback themes and document response decisions.,Feedback notes and project meeting review,High,TLG_MEAL_OFFICER,Skill,Yes,Partly course-addressable,Course plus management learning-review routine,Moderate,Use aggregated feedback themes only.,TRUE,Feedback use is a high-priority MEAL and accountability gap.,Baseline feedback-use score.,Feedback-use decision log; management review note.,Feedback-to-decision log,Yes,1,Pair feedback analysis training with a regular management review routine.,Using Feedback for Adaptive Project Decisions,Synthetic validated baseline record.,Complete
